,satisfied_count,pct_satisfied,move_attempts,successful_moves,failed_searches,voluntary_stays,destination_conflicts,movement_success_rate,city_mean_income,mean_neighbor_income,mean_rent,mean_utility,mean_value,mean_vision,rent_income_timescale_ratio,gini_coefficient,mean_qre_move_probability,mean_qre_accept_probability,mean_ne_move_probability,mean_qre_ne_move_gap,mean_delta_neighborhood_utility,move_accept_outcomes,move_reject_outcomes,stay_accept_outcomes,stay_reject_outcomes,qre_nonconvergence_count,ne_following_rate
0,0,0.0,0,0,0,0,0,0.0,0.609568782628344,0.6098659684502169,0.24558130132374326,0.045683302460762555,0.15912732176454553,4.056603773584905,10.0,0.21392115051142646,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0.0
1,0,0.0,318,65,83,60,110,0.20440251572327045,0.6071076781420139,0.6056925955095805,0.26961941631228803,0.10479072875278868,0.3785072014780943,4.056603773584905,10.0,0.21622962612088648,0.7301925179820048,0.31561576879944453,0.8936170212765957,0.25983946828433546,0.018515334664032504,49,126,19,41,0,0.2297872340425532
2,0,0.0,318,49,140,51,78,0.1540880503144654,0.6089772809829768,0.6055763972681654,0.29125555147983,0.14523889959847927,0.5038595437538559,4.056603773584905,10.0,0.21818378861004795,0.6853068878170024,0.35257628049577183,0.8202247191011236,0.2896645090536382,0.004939816952280638,47,80,16,35,0,0.19101123595505617
3,0,0.0,318,38,158,55,67,0.11949685534591195,0.6058614967107491,0.599680046901043,0.31032567563721286,0.185477362243015,0.6777958800977131,4.056603773584905,10.0,0.21989777156892787,0.6644015760402818,0.3524605412956017,0.80625,0.31079788820921206,0.006378817572811288,32,73,13,42,0,0.14375
4,0,0.0,318,34,199,43,42,0.1069182389937107,0.6061231393817418,0.5986367778420175,0.3272900810752403,0.21015621262257103,0.7267731290504816,4.056603773584905,10.0,0.22060050075698578,0.6009506105084089,0.3702033541176764,0.7815126050420168,0.3452827120102118,0.0005996473743022686,28,48,20,23,0,0.05042016806722689
5,149,46.855345911949684,318,37,207,37,37,0.11635220125786164,0.608053290398408,0.6003453671497989,0.3425968885505493,0.2289923119290929,0.8294857166079369,4.056603773584905,10.0,0.22409476244954463,0.6063223219682611,0.37489869170392054,0.7117117117117117,0.3550484731552446,0.00028068830228865973,28,46,12,25,0,0.07207207207207207
6,169,53.144654088050316,318,35,196,48,39,0.11006289308176101,0.6110068457888256,0.6025190630434858,0.35656500090954013,0.24628517872213412,0.8825299040632978,4.056603773584905,10.0,0.22795838664484358,0.6149111544751598,0.381898953141189,0.819672131147541,0.36706479698518363,0.003933602171755989,34,40,21,27,0,0.05737704918032787
7,191,60.062893081761004,318,25,220,30,43,0.07861635220125786,0.6117970538772814,0.6022902186129168,0.36918574860833603,0.2677086984864305,0.9332208052171088,4.056603773584905,10.0,0.22733996718210503,0.6597576573631022,0.385541419828787,0.8877551020408163,0.3346174425393845,0.00949179473882752,25,43,9,21,0,0.07142857142857142
8,208,65.40880503144655,318,25,235,32,26,0.07861635220125786,0.6123110733220268,0.5999447238040128,0.38051357496212956,0.2790127787572646,0.9697921939178112,4.056603773584905,10.0,0.22682329935751544,0.5922063374945346,0.39451568958575006,0.7951807228915663,0.3976204467903644,0.00025022671578982784,10,41,15,17,0,0.024096385542168676
9,219,68.86792452830188,318,22,225,34,37,0.06918238993710692,0.6125886234815363,0.6000424744364211,0.39045033827317055,0.2873056560894594,0.9690454640291182,4.056603773584905,10.0,0.22946882498243393,0.6178812677677816,0.3945775140957515,0.8279569892473119,0.3733080724383474,0.007514701668928644,25,34,10,24,0,0.053763440860215055
10,223,70.12578616352201,318,30,235,23,30,0.09433962264150944,0.6158836710151883,0.6006323548745489,0.39964842532443756,0.30024895101342564,0.9856870549877803,4.056603773584905,10.0,0.23169938288418712,0.6091255698753618,0.3947612683910111,0.8674698795180723,0.38751321569701014,0.007354942358013572,22,38,12,11,0,0.012048192771084338
11,227,71.38364779874213,318,27,243,29,19,0.08490566037735849,0.6172403682779376,0.5996262221590228,0.4078282104914886,0.3081004429067684,1.0158544517865455,4.056603773584905,10.0,0.2339425444006522,0.6121748255856667,0.39808527997895427,0.92,0.3857247872428383,0.004764333136882641,28,18,15,14,0,0.0
12,232,72.95597484276729,318,20,260,15,23,0.06289308176100629,0.6136010307955427,0.5957594378087441,0.414721666422693,0.317241734463869,1.034004006550089,4.056603773584905,10.0,0.23433176884303242,0.6218583241654162,0.40012620021941414,0.896551724137931,0.3707129512070027,0.0023079994682791605,24,19,6,9,0,0.05172413793103448
13,228,71.69811320754717,318,20,265,18,15,0.06289308176100629,0.6156266219040344,0.5975302717566031,0.4210675543538593,0.32214824357260746,1.0576140665610776,4.056603773584905,10.0,0.23795438144888803,0.5868989403916578,0.39797314949937934,0.8490566037735849,0.400553941597972,0.0019365912017439853,18,17,11,7,0,0.018867924528301886
14,228,71.69811320754717,318,15,249,28,26,0.04716981132075472,0.6158746925427264,0.5960282461463571,0.42676678976201565,0.3295722063958443,1.0689504498236104,4.056603773584905,10.0,0.23883406183933897,0.6647403421531706,0.40279015112912003,0.9130434782608695,0.33058970150215394,0.004433540645723104,15,26,9,19,0,0.10144927536231885
15,237,74.52830188679245,318,20,257,17,24,0.06289308176100629,0.618401624089206,0.5972003532003337,0.4319319789368769,0.33854573092068163,1.0765397005152144,4.056603773584905,10.0,0.24370556680354416,0.6088976820703759,0.40133591358955867,0.8524590163934426,0.3782825425888388,0.0057229529645190175,16,28,5,12,0,0.01639344262295082
16,245,77.04402515723271,318,15,279,16,8,0.04716981132075472,0.614087532055822,0.5943393426222316,0.4362110861718092,0.34394564923028104,1.0893191766828836,4.056603773584905,10.0,0.2442546320967518,0.5955071012833096,0.39917728066761565,0.8205128205128205,0.3816658235288731,0.005262341586010902,6,17,6,10,0,0.0
17,246,77.35849056603773,318,17,275,15,11,0.05345911949685535,0.6155214608255664,0.5942337555249603,0.44023047039231683,0.34438798160175904,1.0808188885301073,4.056603773584905,10.0,0.2455620298124177,0.6152225395518277,0.40255569941821057,0.8372093023255814,0.378116420140815,0.0007885690925329173,16,12,6,9,0,0.0
18,253,79.55974842767296,318,15,283,15,5,0.04716981132075472,0.6162560223883861,0.5921369974820865,0.4438097837576487,0.34696614676184234,1.0826490040051826,4.056603773584905,10.0,0.24521598590305738,0.5614269147488652,0.40255420551816457,0.7142857142857143,0.4272634049898053,0.0009217239714721001,9,11,6,9,0,0.0
19,258,81.13207547169812,318,14,290,8,6,0.0440251572327044,0.6160490693570531,0.5916074767146074,0.44680923041284815,0.3542702342016484,1.0952128661745926,4.056603773584905,10.0,0.24159860206084294,0.5847051983375726,0.40323497926681034,0.8928571428571429,0.4133023142176633,5.127801549105272e-05,6,14,3,5,0,0.0
20,261,82.0754716981132,318,11,292,13,2,0.03459119496855346,0.6171741748213295,0.5942642156291437,0.44955258917941515,0.35863751585899784,1.0946589195195064,4.056603773584905,10.0,0.24177273194453353,0.6063127790123162,0.40466494350793875,0.8461538461538461,0.3864759342879203,0.0034672994459990373,3,10,6,7,0,0.038461538461538464
21,261,82.0754716981132,318,14,262,17,25,0.0440251572327044,0.6206060204289282,0.5964424195269582,0.4523790240844967,0.3602184202046963,1.106351016513272,4.056603773584905,10.0,0.24516834765579265,0.70885622144547,0.409089345338515,0.9821428571428571,0.29106295093694445,0.009154866513682079,12,27,4,13,0,0.17857142857142858
22,263,82.70440251572327,318,14,273,15,16,0.0440251572327044,0.6195074590276839,0.5931797573374427,0.4547704399715969,0.36672309879440756,1.1171694038764957,4.056603773584905,10.0,0.2448900046943907,0.6373295475665236,0.40719533835003874,0.9333333333333333,0.3587652443520148,0.0022942923027716618,15,15,7,8,0,0.1111111111111111
23,267,83.9622641509434,318,13,294,7,4,0.040880503144654086,0.6182955595674047,0.5919494909222774,0.45667130921740096,0.3708028862097873,1.1335085074891993,4.056603773584905,10.0,0.24390010671915818,0.5779190306602964,0.40338085207217667,0.875,0.42084630977767096,0.0021125971333691104,7,10,4,3,0,0.0
24,271,85.22012578616352,318,8,301,9,0,0.025157232704402517,0.616138834895048,0.5908757373296674,0.45819441783276443,0.37231403703774324,1.1313821054602338,4.056603773584905,10.0,0.24487165625930585,0.5509125285225298,0.3992300593894405,0.8235294117647058,0.4417082691770263,0.002162425750314099,4,4,5,4,0,0.0
25,270,84.90566037735849,318,10,284,14,10,0.031446540880503145,0.6139405462233701,0.5879299538557825,0.45947137918755915,0.3743989183827536,1.1366770795781271,4.056603773584905,10.0,0.2457555996155656,0.6302265166434385,0.4003978627398488,0.9117647058823529,0.3668781303119523,0.014297302012396209,9,11,5,9,0,0.058823529411764705
26,269,84.59119496855345,318,15,289,11,3,0.04716981132075472,0.6167184331709075,0.5908768531888228,0.4607242531165916,0.3756321509968496,1.1382089675710103,4.056603773584905,10.0,0.2479942952330152,0.6067759803479603,0.4000976635201686,0.7586206896551724,0.38747506642312507,0.006241896771761032,8,10,4,7,0,0.0
27,272,85.53459119496856,318,9,283,15,11,0.02830188679245283,0.6178626991626901,0.591774739677971,0.4620138530979925,0.37494484703397807,1.1362017465433831,4.056603773584905,10.0,0.2485007873405798,0.6175431935106386,0.4077805890694931,0.9142857142857143,0.38038278276123555,-0.0018521703743848126,7,13,6,9,0,0.0
28,273,85.84905660377359,318,12,294,9,3,0.03773584905660377,0.6192024417042978,0.5945384460266526,0.4632510253773964,0.3712723045610091,1.1315801591155195,4.056603773584905,10.0,0.2520704076371578,0.5726711085945516,0.40548022175311454,0.875,0.41519138692605734,-0.00487254927778167,6,9,2,7,0,0.0
29,272,85.53459119496856,318,11,277,17,13,0.03459119496855346,0.6205039637288076,0.5937872902161824,0.46457140577801936,0.37393344375833687,1.1377751306797008,4.056603773584905,10.0,0.25541779086772154,0.6751850323142858,0.4080336603144723,0.926829268292683,0.32297094012010813,0.003669807276048857,11,13,5,12,0,0.07317073170731707
30,272,85.53459119496856,318,10,283,11,14,0.031446540880503145,0.6161225104212416,0.5893731979898622,0.4652990098786362,0.3717477823839874,1.1354471633444643,4.056603773584905,10.0,0.25499945470359986,0.6584091186615103,0.40601207805232836,0.8285714285714286,0.33779160155045446,0.002127990339115615,10,14,4,7,0,0.05714285714285714
31,276,86.79245283018868,318,8,288,15,7,0.025157232704402517,0.6140070975054089,0.5879458816646871,0.46577502297331963,0.3764714919875395,1.1427675059890035,4.056603773584905,10.0,0.2544538821847291,0.6811877584651366,0.40411024074887253,0.9333333333333333,0.31220851526654536,-0.00043397242197489673,8,7,8,7,0,0.1
32,276,86.79245283018868,318,10,292,9,7,0.031446540880503145,0.6140534323014022,0.5871878916293513,0.4662510355910796,0.38012994563807767,1.147791358390793,4.056603773584905,10.0,0.25369950229435667,0.6129212690210736,0.4093272092382039,0.8846153846153846,0.38621551927470915,0.003299478894266353,4,13,3,6,0,0.0
33,278,87.42138364779875,318,8,300,9,1,0.025157232704402517,0.6138764199319765,0.5855493035964382,0.466561081188148,0.3802824097645738,1.15658129350858,4.056603773584905,10.0,0.2558084188369836,0.5579587416727763,0.40206442952506516,0.6111111111111112,0.42997302036354074,0.0021527719220451277,3,6,2,7,0,0.0
34,285,89.62264150943396,318,6,307,5,0,0.018867924528301886,0.6118600716965091,0.5826827345376749,0.4666039448729103,0.38465819851789307,1.1648919440357945,4.056603773584905,10.0,0.2543599646539485,0.5715320762553036,0.399955845282433,0.9090909090909091,0.42360155908489544,0.003699058809967043,3,3,3,2,0,0.0
35,288,90.56603773584905,318,7,303,8,0,0.0220125786163522,0.6117856365021703,0.5836684817248358,0.4665561737698121,0.3801697270911568,1.1601936133613133,4.056603773584905,10.0,0.2574960932950219,0.5674494947983753,0.40078770521497237,0.8666666666666667,0.4304395936951579,0.0020023872383067077,2,5,5,3,0,0.0
36,288,90.56603773584905,318,6,296,8,8,0.018867924528301886,0.6136586734428687,0.5847557445969961,0.4667251465612024,0.3777970920857147,1.1428907056303454,4.056603773584905,10.0,0.2598850883822432,0.6309026811549926,0.40776113855936935,0.8636363636363636,0.35053659237383594,-0.00403917258590864,4,10,2,6,0,0.0
37,287,90.25157232704403,318,11,293,5,9,0.03459119496855346,0.6146736888852914,0.5846511990054983,0.4668677248935691,0.3753678034668366,1.1239381675626987,4.056603773584905,10.0,0.2633716485696682,0.7232035297302174,0.40847041065362855,0.88,0.2721091391662668,0.0009390346731582466,11,9,2,3,0,0.16
38,282,88.67924528301887,318,11,294,9,4,0.03459119496855346,0.6166893165103503,0.5851495866322183,0.46708395065757274,0.3724761112534566,1.1151062302747816,4.056603773584905,10.0,0.2662899928553981,0.6275792313020349,0.39944726303977385,0.7916666666666666,0.36755118924575125,0.004929401275902925,5,10,2,7,0,0.0
39,275,86.47798742138365,318,13,296,6,3,0.040880503144654086,0.6191947024745776,0.5886884903654063,0.46742052620831814,0.36944440066085055,1.1180515843199463,4.056603773584905,10.0,0.266578804122213,0.561594931789967,0.40002729926518293,0.7727272727272727,0.4267537435607467,0.003680652387313184,4,12,2,4,0,0.0
40,276,86.79245283018868,318,11,287,12,8,0.03459119496855346,0.6200219001843464,0.5907699796387302,0.4678651657173533,0.36959180227630073,1.104797904738013,4.056603773584905,10.0,0.2642084469555004,0.5966758949736137,0.4015794361932402,0.7741935483870968,0.3875236892006365,-0.00118887757112854,12,7,8,4,0,0.06451612903225806
41,277,87.10691823899371,318,9,293,10,6,0.02830188679245283,0.6177246095146091,0.5868008874016409,0.46819548227255103,0.36911776303682603,1.1149193314969366,4.056603773584905,10.0,0.2616453380918229,0.5935158766447605,0.4058956280730422,0.92,0.3968411570503904,-0.00020453677103690393,5,10,4,6,0,0.0
42,279,87.73584905660377,318,6,304,8,0,0.018867924528301886,0.6152443915557047,0.5856936289230493,0.46816137484952075,0.3693979480557523,1.1293381124303745,4.056603773584905,10.0,0.2610590190281883,0.6016482315260616,0.396576977559516,0.7857142857142857,0.3897911126996408,-0.0010752661866471733,3,3,4,4,0,0.0
43,278,87.42138364779875,318,10,301,6,1,0.031446540880503145,0.6154868676454086,0.5867780671893192,0.4682053728135345,0.3658033435590808,1.1153316270680467,4.056603773584905,10.0,0.26270811102495784,0.5412486751555623,0.394956009798429,0.7058823529411765,0.4454587092462454,0.001392758898589171,6,5,3,3,0,0.0
44,283,88.99371069182389,318,10,300,7,1,0.031446540880503145,0.613810910943673,0.5849041045309247,0.4681993197943806,0.3641693934046763,1.0962601234307288,4.056603773584905,10.0,0.26415213566168627,0.5777530975185899,0.39531884636280734,0.7777777777777778,0.4128226346781979,0.006258005126316024,6,5,3,4,0,0.0
45,284,89.30817610062893,318,11,298,8,1,0.03459119496855346,0.6142100518560109,0.5854134832772683,0.46820512400302694,0.3609741719301828,1.1038965721338103,4.056603773584905,10.0,0.2683901461559999,0.5964836832070606,0.40274323207494056,0.8,0.39943343209326543,0.0006199145960245469,3,9,2,6,0,0.0
46,283,88.99371069182389,318,9,295,12,2,0.02830188679245283,0.612445456991053,0.5840396394879979,0.46809848760412154,0.36785227698289935,1.1288346983785194,4.056603773584905,10.0,0.2665391714520484,0.602545532776561,0.3981778172684375,0.8260869565217391,0.3897227402999999,-0.0009534688265385485,5,6,4,8,0,0.043478260869565216
47,279,87.73584905660377,318,7,298,11,2,0.0220125786163522,0.6130231104370163,0.5857141557800597,0.46806909276218583,0.3663198923110522,1.1282623795255113,4.056603773584905,10.0,0.2674590559619283,0.5911899455380908,0.39793205310634794,0.85,0.40535234119896774,0.004339202071604155,5,4,3,8,0,0.05
48,277,87.10691823899371,318,12,294,9,3,0.03773584905660377,0.6152800288011534,0.589127904148218,0.46829574963150117,0.36709361681239666,1.1195101129533447,4.056603773584905,10.0,0.2680070236565808,0.5707670843130682,0.39890556101792196,0.875,0.42668841277707914,0.00315493333772711,2,13,2,7,0,0.0
