         7073292 function calls (7072992 primitive calls) in 2.919 seconds

   Ordered by: cumulative time
   List reduced from 246 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    2.959    0.118 model.py:202(_wrapped_step)
       25    0.000    0.000    2.959    0.118 model.py:206(_advance_time)
       25    0.000    0.000    2.958    0.118 events.py:125(execute)
       25    0.000    0.000    2.958    0.118 events.py:278(_execute_and_reschedule)
       25    0.000    0.000    2.957    0.118 model.py:236(_do_step)
       25    0.001    0.000    2.957    0.118 model.py:684(step)
       50    0.010    0.000    1.667    0.033 agentset.py:761(shuffle_do)
     8050    0.008    0.000    1.617    0.000 agents.py:247(prepare_move_decision)
     8050    0.006    0.000    1.350    0.000 destination_choice.py:68(choose_destination)
     8050    0.118    0.000    1.331    0.000 destination_choice.py:94(find_satisfactory_destinations)
   138777    0.380    0.000    0.849    0.000 utility.py:223(evaluate_for_search)
       25    0.005    0.000    0.608    0.024 datacollection.py:361(collect)
       50    0.001    0.000    0.500    0.010 neighbourhood_state.py:127(refresh_current_income)
       50    0.057    0.001    0.500    0.010 neighbourhood_state.py:60(calculate_mean_income_and_variance)
     8050    0.102    0.000    0.315    0.000 destination_choice.py:195(_get_candidate_cells)
    28083    0.191    0.000    0.302    0.000 _methods.py:148(_var)
      845    0.007    0.000    0.258    0.000 game.py:579(play)
    19989    0.020    0.000    0.231    0.000 fromnumeric.py:4075(var)
       25    0.000    0.000    0.213    0.009 model.py:998(get_neighborhood_heterogeneity)
       25    0.024    0.001    0.213    0.009 metrics.py:283(neighborhood_heterogeneity)


