         7025523 function calls (7025223 primitive calls) in 3.582 seconds

   Ordered by: cumulative time
   List reduced from 257 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    3.632    0.145 model.py:202(_wrapped_step)
       25    0.000    0.000    3.632    0.145 model.py:206(_advance_time)
       25    0.000    0.000    3.631    0.145 events.py:125(execute)
       25    0.000    0.000    3.631    0.145 events.py:278(_execute_and_reschedule)
       25    0.000    0.000    3.630    0.145 model.py:236(_do_step)
       25    0.001    0.000    3.630    0.145 model.py:705(step)
       50    0.013    0.000    2.149    0.043 agentset.py:761(shuffle_do)
     8050    0.010    0.000    2.084    0.000 agents.py:247(prepare_move_decision)
     8050    0.008    0.000    1.745    0.000 destination_choice.py:68(choose_destination)
     8050    0.153    0.000    1.720    0.000 destination_choice.py:94(find_satisfactory_destinations)
   138777    0.492    0.000    1.102    0.000 utility.py:223(evaluate_for_search)
       50    0.001    0.000    0.634    0.013 neighbourhood_state.py:127(refresh_current_income)
       50    0.071    0.001    0.633    0.013 neighbourhood_state.py:60(calculate_mean_income_and_variance)
       25    0.000    0.000    0.607    0.024 model.py:41(collect)
       25    0.006    0.000    0.607    0.024 datacollection.py:361(collect)


