         5553862 function calls (5553562 primitive calls) in 2.040 seconds

   Ordered by: cumulative time
   List reduced from 257 to 15 due to restriction <15>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       25    0.000    0.000    2.149    0.086 model.py:202(_wrapped_step)
       25    0.000    0.000    2.149    0.086 model.py:206(_advance_time)
       25    0.000    0.000    2.148    0.086 events.py:125(execute)
       25    0.000    0.000    2.148    0.086 events.py:278(_execute_and_reschedule)
       25    0.000    0.000    2.147    0.086 model.py:236(_do_step)
       25    0.000    0.000    2.147    0.086 model.py:705(step)
       50    0.010    0.000    1.646    0.033 agentset.py:761(shuffle_do)
     8050    0.010    0.000    1.594    0.000 agents.py:247(prepare_move_decision)
     8050    0.006    0.000    1.336    0.000 destination_choice.py:68(choose_destination)
     8050    0.116    0.000    1.318    0.000 destination_choice.py:94(find_satisfactory_destinations)
   138777    0.380    0.000    0.848    0.000 utility.py:223(evaluate_for_search)
     8050    0.101    0.000    0.306    0.000 destination_choice.py:195(_get_candidate_cells)
       25    0.000    0.000    0.296    0.012 model.py:41(collect)
       25    0.002    0.000    0.296    0.012 datacollection.py:361(collect)
      845    0.006    0.000    0.248    0.000 game.py:579(play)


