         211456362 function calls (211444362 primitive calls) in 111.024 seconds

   Ordered by: cumulative time
   List reduced from 257 to 20 due to restriction <20>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     1000    0.003    0.000  117.219    0.117 model.py:202(_wrapped_step)
     1000    0.009    0.000  117.215    0.117 model.py:206(_advance_time)
     1000    0.004    0.000  117.190    0.117 events.py:125(execute)
     1000    0.008    0.000  117.182    0.117 events.py:278(_execute_and_reschedule)
     1000    0.010    0.000  117.140    0.117 model.py:236(_do_step)
     1000    0.032    0.000  117.126    0.117 model.py:705(step)
     2000    0.563    0.000   87.725    0.044 agentset.py:761(shuffle_do)
   322000    0.511    0.000   84.896    0.000 agents.py:247(prepare_move_decision)
   322000    0.324    0.000   74.779    0.000 destination_choice.py:68(choose_destination)
   322000    5.551    0.000   73.957    0.000 destination_choice.py:94(find_satisfactory_destinations)
  5622514   21.955    0.000   49.141    0.000 utility.py:223(evaluate_for_search)
     1000    0.007    0.000   17.222    0.017 model.py:41(collect)
     1000    0.134    0.000   17.212    0.017 datacollection.py:361(collect)
   322000    5.887    0.000   17.073    0.000 destination_choice.py:195(_get_candidate_cells)
     1000    0.006    0.000   12.146    0.012 model.py:1019(get_neighborhood_heterogeneity)
     1000    1.409    0.001   12.140    0.012 metrics.py:269(neighborhood_heterogeneity)
 29132548    7.582    0.000   10.728    0.000 cell.py:161(is_empty)
     4000    0.866    0.000   10.029    0.003 agentset.py:745(do)
    22363    0.259    0.000    9.599    0.000 game.py:579(play)
     2000    0.010    0.000    9.040    0.005 model.py:657(_update_agent_states)


